tripduration,starttime,stoptime,start station id,end station id,bikeid,usertype,birth year,gender
246,2019-06-11 01:13:04.3100,2019-06-11 01:17:10.9500,3656,3711,16737,Subscriber,1991,1
1197,2019-06-28 18:26:17.6120,2019-06-28 18:46:15.1020,513,254,39034,Subscriber,1978,1
752,2019-06-20 18:17:15.7270,2019-06-20 18:29:48.6080,229,296,31275,Subscriber,1977,2
712,2019-06-15 19:32:24.0360,2019-06-15 19:44:16.7160,3346,3412,35092,Subscriber,1983,1
606,2019-06-06 14:31:58.6510,2019-06-06 14:42:04.6700,380,442,35378,Subscriber,1989,1
1088,2019-06-30 18:53:04.6030,2019-06-30 19:11:13.1820,520,514,38278,Subscriber,1981,1
2097,2019-06-20 23:29:57.3050,2019-06-21 00:04:54.5380,3162,499,38102,Subscriber,1960,1
1465,2019-06-07 17:20:49.9010,2019-06-07 17:45:14.9390,481,241,27205,Customer,1991,2
659,2019-06-26 07:46:21.4880,2019-06-26 07:57:20.5900,3680,164,18790,Subscriber,1994,2
4343,2019-06-16 14:58:08.1900,2019-06-16 16:10:31.7650,347,347,30184,Subscriber,1993,1
379,2019-06-08 16:52:10.1320,2019-06-08 16:58:29.9810,499,3697,32280,Subscriber,1989,1
2070,2019-06-26 08:24:15.8880,2019-06-26 08:58:46.2640,241,539,39058,Customer,1969,0
458,2019-06-19 22:08:12.9510,2019-06-19 22:15:51.7010,477,3259,29855,Subscriber,1982,1
1449,2019-06-07 20:33:43.5210,2019-06-07 20:57:52.5300,3775,3569,32177,Subscriber,1987,1
447,2019-06-24 19:04:46.4020,2019-06-24 19:12:14.3260,3461,3467,16758,Subscriber,1994,1
371,2019-06-11 09:34:16.9820,2019-06-11 09:40:28.3700,500,359,33597,Subscriber,1956,1
578,2019-06-27 10:01:51.1050,2019-06-27 10:11:29.8630,268,236,31519,Subscriber,1993,1
269,2019-06-17 13:31:35.5340,2019-06-17 13:36:05.3100,528,546,31308,Subscriber,1942,1
2118,2019-06-28 14:23:36.3990,2019-06-28 14:58:54.4330,3166,3467,32707,Subscriber,1980,1
919,2019-06-15 16:28:21.3450,2019-06-15 16:43:40.3780,3613,3129,33016,Subscriber,1992,1
869,2019-06-11 19:03:51.8910,2019-06-11 19:18:20.9180,168,529,15440,Subscriber,1979,1
1002,2019-06-27 08:51:32.3140,2019-06-27 09:08:15.0850,301,519,29564,Subscriber,1990,1
2504,2019-06-06 18:47:04.3940,2019-06-06 19:28:48.6300,426,3169,20907,Subscriber,1973,2
102,2019-06-23 07:41:17.0030,2019-06-23 07:42:59.5630,3286,3675,15540,Subscriber,1986,1
714,2019-06-21 19:39:47.2670,2019-06-21 19:51:41.7360,3472,280,33356,Subscriber,1991,2
352,2019-06-01 16:04:33.3590,2019-06-01 16:10:25.5410,368,303,31189,Subscriber,1992,1
620,2019-06-09 17:18:47.2630,2019-06-09 17:29:07.7040,241,399,27650,Subscriber,1976,1
1141,2019-06-09 17:23:35.4520,2019-06-09 17:42:36.9010,507,224,28520,Subscriber,1986,1
519,2019-06-02 19:22:51.5580,2019-06-02 19:31:31.4090,440,540,30720,Subscriber,1985,1
429,2019-06-12 09:58:27.6940,2019-06-12 10:05:37.1100,518,3707,34062,Subscriber,1982,1
330,2019-06-05 22:38:07.0660,2019-06-05 22:43:37.1770,3668,3095,30517,Subscriber,1994,2
648,2019-06-22 14:48:24.6550,2019-06-22 14:59:13.5600,3134,450,14641,Subscriber,1990,1
623,2019-06-27 08:52:48.4380,2019-06-27 09:03:11.6420,445,3260,26501,Subscriber,1989,1
1127,2019-06-04 08:38:22.7320,2019-06-04 08:57:09.8130,274,321,28350,Customer,1992,2
575,2019-06-24 16:54:52.7030,2019-06-24 17:04:27.8010,415,3461,20290,Subscriber,1980,1
800,2019-06-25 18:35:16.6730,2019-06-25 18:48:37.3940,513,3301,28302,Subscriber,1989,1
511,2019-06-11 07:48:14.7050,2019-06-11 07:56:46.2840,330,229,33019,Subscriber,1984,2
573,2019-06-06 17:48:20.0050,2019-06-06 17:57:53.3330,523,499,33949,Subscriber,1990,1
470,2019-06-06 08:41:24.8320,2019-06-06 08:49:15.1050,502,355,20020,Subscriber,1973,1
802,2019-06-06 07:13:31.4140,2019-06-06 07:26:53.4210,3140,281,34917,Subscriber,1990,1
191,2019-06-18 16:58:23.3670,2019-06-18 17:01:35.1220,466,494,14889,Subscriber,1987,1
425,2019-06-07 13:03:12.5870,2019-06-07 13:10:18.5690,3587,3673,33047,Subscriber,1976,1
230,2019-06-26 06:31:14.7370,2019-06-26 06:35:05.0550,3425,3296,38212,Subscriber,1986,2
242,2019-06-23 21:40:01.4660,2019-06-23 21:44:03.7520,3435,361,32688,Subscriber,1975,2
510,2019-06-06 06:30:19.7270,2019-06-06 06:38:50.3390,3658,514,15219,Subscriber,1990,1
1286,2019-06-24 14:54:07.7360,2019-06-24 15:15:34.6260,528,237,26065,Subscriber,1974,1
1528,2019-06-27 08:29:41.8510,2019-06-27 08:55:10.4240,3166,2017,28932,Subscriber,1968,2
452,2019-06-06 19:31:23.6060,2019-06-06 19:38:56.5320,173,508,35033,Subscriber,1987,1
1019,2019-06-09 10:11:44.7440,2019-06-09 10:28:43.9690,282,3108,32572,Subscriber,1972,0
1241,2019-06-19 11:43:37.4160,2019-06-19 12:04:18.7250,349,150,28680,Subscriber,1946,1
1099,2019-06-20 13:15:34.7410,2019-06-20 13:33:54.0440,3137,499,26596,Customer,1969,0
439,2019-06-08 11:15:23.1880,2019-06-08 11:22:42.6750,3711,3708,28114,Subscriber,1981,2
1792,2019-06-23 19:51:00.5380,2019-06-23 20:20:53.3630,377,3453,33872,Customer,1997,1
242,2019-06-24 21:25:30.0350,2019-06-24 21:29:32.8120,504,487,26700,Subscriber,1992,1
210,2019-06-12 17:35:25.0850,2019-06-12 17:38:55.7860,3418,3339,25915,Subscriber,1982,2
206,2019-06-23 12:49:11.3100,2019-06-23 12:52:37.3770,2006,2006,33970,Subscriber,1988,1
1386,2019-06-20 12:59:55.1490,2019-06-20 13:23:01.5750,455,3286,31371,Customer,1998,2
1275,2019-06-03 06:23:13.4920,2019-06-03 06:44:28.7480,3236,347,34033,Subscriber,1983,1
548,2019-06-11 06:16:34.6780,2019-06-11 06:25:43.6380,3255,484,33831,Subscriber,1978,1
1217,2019-06-17 08:03:31.0420,2019-06-17 08:23:48.7730,281,3534,17684,Subscriber,1992,1
426,2019-06-28 17:57:14.6670,2019-06-28 18:04:20.8770,480,514,39191,Subscriber,1988,1
752,2019-06-05 09:21:23.2660,2019-06-05 09:33:55.6870,3687,168,31456,Subscriber,1989,2
311,2019-06-15 19:22:39.9720,2019-06-15 19:27:51.0610,257,303,30098,Subscriber,1988,1
1271,2019-06-17 22:35:25.6990,2019-06-17 22:56:36.8920,3263,445,28935,Subscriber,1995,2
245,2019-06-22 01:36:42.4010,2019-06-22 01:40:47.7350,3179,3065,26461,Subscriber,1981,1
749,2019-06-17 06:07:53.6830,2019-06-17 06:20:22.7820,3351,3553,33563,Subscriber,1954,1
452,2019-06-09 12:24:00.3520,2019-06-09 12:31:32.8400,3083,3758,33993,Subscriber,1993,1
209,2019-06-17 08:22:29.8290,2019-06-17 08:25:59.3300,257,3664,18300,Subscriber,1996,1
1174,2019-06-22 14:56:03.9950,2019-06-22 15:15:38.1700,3061,3080,31539,Customer,1995,2
919,2019-06-05 09:27:34.6180,2019-06-05 09:42:53.9620,340,3674,25637,Subscriber,1965,1
370,2019-06-06 17:42:17.1990,2019-06-06 17:48:27.8990,402,229,17105,Subscriber,1982,1
2251,2019-06-30 11:38:15.1220,2019-06-30 12:15:46.9190,3165,79,31509,Subscriber,1969,0
1827,2019-06-13 01:02:20.6660,2019-06-13 01:32:48.3470,293,3141,29172,Subscriber,1989,1
1360,2019-06-16 08:30:16.9900,2019-06-16 08:52:57.1040,525,2008,32117,Customer,1969,0
330,2019-06-02 19:11:36.1150,2019-06-02 19:17:06.8310,499,530,26096,Subscriber,1995,1
582,2019-06-19 20:11:55.1120,2019-06-19 20:21:37.3700,323,354,24847,Customer,1997,2
1366,2019-06-06 18:39:11.6430,2019-06-06 19:01:58.2980,237,415,16324,Subscriber,1998,1
1313,2019-06-24 19:39:50.8110,2019-06-24 20:01:44.2790,79,398,30521,Subscriber,1989,1
463,2019-06-15 13:05:22.1820,2019-06-15 13:13:05.6510,3232,314,35220,Subscriber,1981,1
302,2019-06-20 16:14:45.8550,2019-06-20 16:19:48.8530,3400,3553,25593,Subscriber,1982,1
585,2019-06-25 09:24:23.6430,2019-06-25 09:34:08.6630,195,151,30671,Subscriber,1976,2
1042,2019-06-11 09:01:58.7530,2019-06-11 09:19:21.1320,3172,519,32416,Subscriber,1993,2
2158,2019-06-22 08:53:53.4670,2019-06-22 09:29:51.6560,309,514,30277,Customer,1969,0
681,2019-06-25 17:21:35.7610,2019-06-25 17:32:57.2840,523,223,32636,Subscriber,1979,1
1156,2019-06-11 11:32:41.6630,2019-06-11 11:51:58.5630,3135,362,31325,Subscriber,1981,1
1158,2019-06-30 00:39:17.8350,2019-06-30 00:58:36.6650,368,323,18620,Subscriber,1982,1
483,2019-06-06 07:58:12.4490,2019-06-06 08:06:15.5050,3429,418,32578,Subscriber,1982,1
1366,2019-06-13 14:24:31.4290,2019-06-13 14:47:17.5580,478,3734,32267,Subscriber,1993,2
609,2019-06-09 15:35:03.9120,2019-06-09 15:45:12.9530,3427,3435,27431,Subscriber,1977,2
542,2019-06-05 09:27:26.6170,2019-06-05 09:36:28.9320,359,3136,26502,Subscriber,1977,1
292,2019-06-29 21:49:34.5020,2019-06-29 21:54:26.5810,369,435,20996,Subscriber,1996,1
1017,2019-06-11 07:34:07.8100,2019-06-11 07:51:05.6960,495,459,30631,Subscriber,1977,1
1486,2019-06-06 17:56:16.2680,2019-06-06 18:21:03.2210,151,3118,32458,Subscriber,1994,1
890,2019-06-11 21:14:59.8300,2019-06-11 21:29:50.0060,3718,3427,28572,Subscriber,1986,1
1005,2019-06-26 23:31:42.5710,2019-06-26 23:48:27.7410,83,3478,29339,Subscriber,1989,1
976,2019-06-07 21:17:54.6480,2019-06-07 21:34:11.1590,212,514,16373,Customer,1969,0
278,2019-06-09 10:19:03.1320,2019-06-09 10:23:41.3010,383,293,31529,Subscriber,1991,1
495,2019-06-17 17:14:33.8180,2019-06-17 17:22:49.7410,388,116,18558,Subscriber,1981,2
563,2019-06-08 14:38:52.5820,2019-06-08 14:48:15.8440,3435,3435,18483,Customer,1969,0
194,2019-06-14 17:05:07.9080,2019-06-14 17:08:22.7230,446,3255,24823,Subscriber,1972,0
1641,2019-06-12 17:02:54.4180,2019-06-12 17:30:16.0170,3724,358,34324,Subscriber,1991,1
428,2019-06-29 02:21:45.6060,2019-06-29 02:28:54.2500,3526,3513,35296,Subscriber,1996,1
571,2019-06-14 13:55:34.8020,2019-06-14 14:05:06.6270,3410,3368,18802,Customer,1969,0
787,2019-06-20 15:59:53.2390,2019-06-20 16:13:00.5890,496,519,25395,Subscriber,1956,1
1297,2019-06-06 20:22:22.0690,2019-06-06 20:43:59.5460,327,446,28758,Subscriber,1970,1
521,2019-06-12 19:17:12.1690,2019-06-12 19:25:53.2580,3443,477,18960,Subscriber,1987,1
710,2019-06-27 18:51:25.7860,2019-06-27 19:03:16.2240,173,3164,26498,Subscriber,1989,1
1709,2019-06-11 14:53:36.3930,2019-06-11 15:22:06.3170,3235,251,26717,Customer,1969,0
2198,2019-06-12 19:46:29.7440,2019-06-12 20:23:08.2650,450,406,32230,Subscriber,1978,1
389,2019-06-24 21:49:35.8150,2019-06-24 21:56:04.8950,462,525,17420,Subscriber,1986,1
398,2019-06-05 18:20:33.8440,2019-06-05 18:27:12.6610,539,3077,35029,Subscriber,1965,2
452,2019-06-05 20:19:13.0490,2019-06-05 20:26:45.1660,3255,442,32072,Subscriber,1985,1
461,2019-06-24 19:09:01.3020,2019-06-24 19:16:42.8810,3555,3745,18292,Subscriber,1988,1
1775,2019-06-20 12:01:58.1610,2019-06-20 12:31:33.7540,3373,216,34999,Subscriber,1978,2
810,2019-06-11 07:52:36.9730,2019-06-11 08:06:07.9410,3178,3282,21577,Subscriber,1962,2
172,2019-06-23 17:10:23.6610,2019-06-23 17:13:15.8870,515,495,30078,Subscriber,1960,2
611,2019-06-19 18:26:34.6240,2019-06-19 18:36:45.9650,296,400,28938,Subscriber,1962,1
452,2019-06-18 08:31:27.7910,2019-06-18 08:39:00.1210,486,476,30214,Subscriber,1987,2
393,2019-06-10 16:04:13.1110,2019-06-10 16:10:46.7840,3429,399,26144,Subscriber,1984,1
1583,2019-06-14 19:27:33.1650,2019-06-14 19:53:56.1670,331,3770,32262,Subscriber,1984,1
479,2019-06-03 14:13:05.5170,2019-06-03 14:21:04.8200,167,174,16262,Customer,1993,1
158,2019-06-18 15:31:55.7950,2019-06-18 15:34:34.2300,3708,252,28578,Subscriber,1984,1
1251,2019-06-08 10:52:33.3910,2019-06-08 11:13:24.7510,426,515,27974,Subscriber,1957,1
514,2019-06-22 12:42:31.5350,2019-06-22 12:51:05.7090,483,128,31388,Subscriber,1988,1
837,2019-06-22 02:32:33.7100,2019-06-22 02:46:30.8660,3558,3486,32791,Subscriber,1984,1
312,2019-06-23 23:38:48.0440,2019-06-23 23:44:00.2930,3141,3734,34113,Subscriber,1994,1
448,2019-06-13 08:56:33.5660,2019-06-13 09:04:01.8610,545,472,34216,Subscriber,1985,1
148,2019-06-09 19:58:04.3170,2019-06-09 20:00:32.6640,339,339,31308,Subscriber,1995,2
793,2019-06-28 18:25:30.1170,2019-06-28 18:38:43.6190,3472,479,16042,Subscriber,1992,1
1016,2019-06-21 15:37:23.2970,2019-06-21 15:54:19.6010,280,426,28521,Customer,1982,2
230,2019-06-11 13:20:59.1720,2019-06-11 13:24:49.6730,460,2002,33229,Subscriber,1982,1
601,2019-06-06 17:18:20.5980,2019-06-06 17:28:21.9100,168,523,35278,Subscriber,1995,1
852,2019-06-25 09:32:16.3850,2019-06-25 09:46:29.2130,3171,3539,18413,Subscriber,1950,1
518,2019-06-23 10:22:32.9270,2019-06-23 10:31:11.4680,366,353,32717,Subscriber,1985,2
675,2019-06-29 12:47:26.4050,2019-06-29 12:58:41.9150,3077,2002,31042,Subscriber,1977,1
1036,2019-06-27 20:29:46.7150,2019-06-27 20:47:03.3460,349,382,16436,Customer,1969,0
553,2019-06-28 14:00:39.1920,2019-06-28 14:09:53.1030,2008,360,30334,Subscriber,1983,1
1270,2019-06-23 23:18:26.4430,2019-06-23 23:39:36.5100,281,483,29778,Subscriber,1991,1
396,2019-06-29 10:34:37.6470,2019-06-29 10:41:13.9840,3357,3293,32519,Subscriber,1985,2
1790,2019-06-23 09:14:13.0410,2019-06-23 09:44:04.0340,167,339,31120,Customer,1969,0
723,2019-06-04 15:31:24.3010,2019-06-04 15:43:27.9800,3747,3141,34031,Subscriber,1969,0
2226,2019-06-14 08:09:11.5960,2019-06-14 08:46:18.4330,437,3467,21112,Subscriber,1976,1
74,2019-06-16 21:06:23.2120,2019-06-16 21:07:37.2440,3709,168,30855,Subscriber,1984,1
151,2019-06-19 21:23:12.5230,2019-06-19 21:25:44.3790,412,296,15146,Subscriber,1990,1
246,2019-06-28 08:00:47.1160,2019-06-28 08:04:53.6260,3358,3297,30563,Subscriber,1961,2
559,2019-06-30 18:32:06.1360,2019-06-30 18:41:25.9110,401,394,32036,Customer,1997,2
897,2019-06-24 08:01:38.6620,2019-06-24 08:16:36.3040,3168,173,33841,Subscriber,1965,1
288,2019-06-24 18:56:48.9330,2019-06-24 19:01:37.5710,3171,3285,33900,Subscriber,1959,2
65,2019-06-12 17:25:40.4390,2019-06-12 17:26:45.8250,2023,2023,30991,Subscriber,1989,0
528,2019-06-09 14:37:33.5310,2019-06-09 14:46:21.7860,3746,284,34109,Subscriber,1965,1
632,2019-06-03 20:01:27.7600,2019-06-03 20:11:59.7740,482,3712,33906,Subscriber,1977,1
786,2019-06-08 15:10:42.4100,2019-06-08 15:23:49.0330,418,418,18672,Customer,1969,0
950,2019-06-15 11:50:37.4200,2019-06-15 12:06:27.7690,3724,3165,20907,Customer,1987,1
246,2019-06-18 21:55:32.1840,2019-06-18 21:59:39.1090,365,397,34286,Subscriber,1988,1
368,2019-06-29 11:18:55.5270,2019-06-29 11:25:04.1600,3083,3087,38530,Subscriber,1984,1
472,2019-06-02 15:52:33.0250,2019-06-02 16:00:25.6320,3576,366,26574,Subscriber,1995,1
477,2019-06-24 23:11:34.2230,2019-06-24 23:19:31.9570,398,3396,18122,Customer,1969,0
630,2019-06-28 20:29:28.0470,2019-06-28 20:39:58.8410,523,435,38956,Subscriber,1959,1
1912,2019-06-23 13:20:49.3510,2019-06-23 13:52:41.3920,492,264,26629,Subscriber,1980,1
406,2019-06-23 00:45:40.2920,2019-06-23 00:52:26.6860,435,358,30889,Subscriber,1969,1
769,2019-06-26 21:39:00.3070,2019-06-26 21:51:49.5100,408,439,38840,Subscriber,1994,1
412,2019-06-04 08:15:11.7930,2019-06-04 08:22:04.2140,3452,2002,21097,Customer,1969,0
716,2019-06-27 21:06:24.6390,2019-06-27 21:18:21.0330,349,252,38814,Subscriber,1996,1
1269,2019-06-14 16:55:35.1170,2019-06-14 17:16:44.1920,534,470,29193,Subscriber,1979,1
335,2019-06-07 06:48:11.2600,2019-06-07 06:53:46.8970,420,298,25872,Subscriber,1987,1
1256,2019-06-01 19:18:28.1850,2019-06-01 19:39:24.4490,3165,2021,16336,Customer,1969,0
414,2019-06-10 19:16:20.3190,2019-06-10 19:23:14.8760,491,293,17565,Subscriber,1989,1
1078,2019-06-07 23:35:55.7760,2019-06-07 23:53:54.5810,453,410,26594,Subscriber,1993,2
269,2019-06-23 12:27:06.4140,2019-06-23 12:31:36.0880,3690,327,38714,Subscriber,1981,1
297,2019-06-11 07:04:18.0010,2019-06-11 07:09:15.8060,500,522,33235,Subscriber,1968,1
361,2019-06-27 09:37:57.6990,2019-06-27 09:43:59.3880,3119,3128,34925,Subscriber,1968,1
429,2019-06-28 22:11:59.5690,2019-06-28 22:19:09.3480,403,325,39706,Subscriber,1994,1
463,2019-06-23 16:39:29.6870,2019-06-23 16:47:13.0400,410,236,30000,Subscriber,1994,1
1195,2019-06-02 12:27:10.3940,2019-06-02 12:47:05.8790,72,3256,33857,Subscriber,1972,2
769,2019-06-28 17:16:00.3610,2019-06-28 17:28:49.5880,520,514,31292,Subscriber,1987,2
379,2019-06-27 17:16:15.0390,2019-06-27 17:22:34.5340,359,485,27271,Subscriber,1988,2
557,2019-06-01 13:51:50.2250,2019-06-01 14:01:07.4630,247,3255,33658,Subscriber,1991,1
524,2019-06-05 20:24:55.8000,2019-06-05 20:33:40.4380,528,504,30010,Subscriber,1991,1
1180,2019-06-28 18:20:45.0440,2019-06-28 18:40:25.0580,369,3674,38088,Subscriber,1990,1
221,2019-06-08 03:22:36.6540,2019-06-08 03:26:17.9900,3286,3292,19253,Subscriber,1992,1
579,2019-06-06 00:23:42.5360,2019-06-06 00:33:21.5520,3399,3361,30217,Subscriber,1959,1
968,2019-06-15 12:08:33.3500,2019-06-15 12:24:42.3060,3404,3297,16651,Subscriber,1983,1
1462,2019-06-03 10:11:17.1820,2019-06-03 10:35:39.6850,441,173,19535,Customer,1969,0
378,2019-06-08 12:31:47.8100,2019-06-08 12:38:06.7900,3578,3249,35208,Subscriber,1974,1
2409,2019-06-14 17:55:58.6690,2019-06-14 18:36:08.3280,458,3096,28589,Subscriber,1986,1
280,2019-06-01 14:12:51.7940,2019-06-01 14:17:32.5310,442,3259,34992,Subscriber,1989,1
1545,2019-06-01 11:30:51.2250,2019-06-01 11:56:37.2140,3282,3166,20693,Customer,1969,0
1619,2019-06-23 16:36:44.6980,2019-06-23 17:03:44.4080,316,168,18002,Subscriber,1996,2
718,2019-06-21 21:50:03.4060,2019-06-21 22:02:01.9360,3242,406,27188,Subscriber,1962,1
1430,2019-06-23 12:36:24.5200,2019-06-23 13:00:14.8570,478,3178,15261,Customer,1969,0
